iter	RMSE
0	10.18837271
1	9.858952373
2	9.560360026
3	9.294192362
4	9.036053252
5	8.798377691
6	8.549607677
7	8.324369608
8	8.124489705
9	7.947897743
10	7.775418977
11	7.62086423
12	7.477028662
13	7.337688202
14	7.210159133
15	7.086985154
16	6.979744009
17	6.878669227
18	6.770248145
19	6.680465445
20	6.601072647
21	6.530349393
22	6.457613891
23	6.394326621
24	6.32443924
25	6.259669891
26	6.20551662
27	6.146884468
28	6.101828845
29	6.054931461
30	6.014310462
31	5.975288872
32	5.93497639
33	5.896297387
34	5.85530394
35	5.811467774
36	5.777823679
37	5.742764706
38	5.711011054
39	5.685710924
40	5.663496604
41	5.630679329
42	5.602053396
43	5.575185834
44	5.550787339
45	5.532379467
46	5.510346901
47	5.488379205
48	5.471112567
49	5.446897531
50	5.423840824
51	5.405513513
52	5.387340817
53	5.373970432
54	5.359509524
55	5.342774169
56	5.330933695
57	5.315949304
58	5.297382605
59	5.281821391
60	5.263383769
61	5.250641055
62	5.236618885
63	5.223500357
64	5.204507019
65	5.193660409
66	5.180459478
67	5.164985611
68	5.150540807
69	5.135119558
70	5.124792563
71	5.109391058
72	5.10065642
73	5.092472798
74	5.079251456
75	5.072584908
76	5.062867626
77	5.051336843
78	5.039514802
79	5.030922469
80	5.024620562
81	5.018315695
82	5.005859247
83	5.000212165
84	4.98968092
85	4.979291578
86	4.972067732
87	4.962848034
88	4.95343876
89	4.950365777
90	4.944691404
91	4.939488821
92	4.932846606
93	4.928685582
94	4.921490797
95	4.913699835
96	4.904490788
97	4.899831273
98	4.895393098
99	4.889900868
100	4.884950627
101	4.879150839
102	4.870666703
103	4.864366345
104	4.858242578
105	4.851674212
106	4.841601206
107	4.835053255
108	4.828123691
109	4.820740114
110	4.815773084
111	4.808933535
112	4.804305999
113	4.798906234
114	4.795236102
115	4.792356976
116	4.78559098
117	4.779013549
118	4.772687317
119	4.767405378
120	4.760385338
121	4.755109499
122	4.747170929
123	4.742208011
124	4.739587194
125	4.736414877
126	4.731801923
127	4.726757026
128	4.72414916
129	4.721306334
130	4.716312562
131	4.71194289
132	4.708091258
133	4.706389099
134	4.699852195
135	4.697083431
136	4.691672737
137	4.687597528
