iter	Passed	Remaining
0	72	72044
1	77	38742
2	82	27573
3	88	21930
4	94	18796
5	100	16572
6	105	14993
7	111	13767
8	116	12800
9	121	12039
10	126	11414
11	132	10885
12	137	10448
13	142	10011
14	148	9719
15	153	9446
16	158	9181
17	164	8983
18	169	8760
19	175	8580
20	180	8419
21	185	8267
22	190	8106
23	195	7965
24	201	7841
25	206	7733
26	211	7619
27	216	7514
28	221	7421
29	226	7335
30	232	7264
31	237	7173
32	242	7091
33	247	7021
34	251	6944
35	256	6871
36	261	6813
37	266	6752
38	272	6705
39	277	6655
40	282	6606
41	288	6575
42	293	6540
43	299	6501
44	304	6466
45	310	6432
46	316	6410
47	321	6381
48	326	6342
49	331	6306
50	338	6290
51	343	6258
52	349	6236
53	354	6204
54	359	6168
55	365	6154
56	370	6130
57	377	6134
58	384	6134
59	390	6113
60	396	6100
61	401	6081
62	407	6062
63	413	6041
64	419	6027
65	424	6012
66	430	5996
67	436	5976
68	440	5949
69	445	5924
70	450	5897
71	456	5880
72	460	5853
73	465	5828
74	471	5815
75	476	5791
76	482	5777
77	487	5764
78	494	5764
79	499	5745
80	504	5725
81	509	5704
82	514	5687
83	520	5675
84	526	5664
85	531	5652
86	536	5629
87	540	5604
88	545	5582
89	549	5557
90	554	5538
91	558	5516
92	563	5494
93	567	5470
94	572	5456
95	577	5438
96	581	5416
97	586	5396
98	590	5374
99	594	5353
100	599	5334
101	603	5312
102	607	5291
103	612	5273
104	616	5251
105	620	5237
106	626	5226
107	631	5213
108	636	5205
109	642	5196
110	647	5186
111	652	5174
112	657	5158
113	661	5141
114	666	5125
115	670	5112
116	675	5096
117	680	5089
118	686	5080
119	690	5065
120	695	5051
121	700	5042
122	705	5031
123	709	5015
124	714	5002
125	721	5005
126	727	4998
127	731	4985
128	735	4969
129	740	4955
130	744	4941
131	749	4929
132	755	4923
133	760	4913
134	765	4902
135	769	4886
136	774	4879
137	780	4876
138	786	4870
139	791	4860
140	796	4851
141	801	4844
142	807	4836
143	811	4822
144	815	4809
145	820	4799
146	825	4788
147	829	4777
148	836	4775
149	840	4761
150	844	4750
151	848	4735
152	853	4725
153	857	4712
154	862	4701
155	867	4692
156	872	4684
157	877	4675
158	883	4673
159	889	4667
160	893	4657
161	898	4646
162	903	4641
163	908	4630
164	913	4621
165	917	4610
166	922	4603
167	928	4600
168	934	4593
169	939	4585
170	944	4576
171	949	4568
172	955	4568
173	961	4563
174	966	4555
175	971	4546
176	977	4543
177	983	4539
178	988	4534
179	993	4527
180	998	4518
181	1004	4514
182	1010	4509
183	1015	4503
184	1020	4495
185	1025	4486
186	1031	4483
187	1037	4479
188	1042	4471
189	1047	4466
190	1052	4458
191	1057	4452
192	1063	4445
193	1068	4437
194	1073	4430
195	1079	4429
196	1084	4421
197	1089	4413
198	1094	4404
199	1098	4394
200	1103	4384
201	1107	4376
202	1112	4367
203	1117	4360
204	1123	4355
205	1128	4349
206	1133	4340
207	1139	4337
208	1144	4329
209	1148	4321
210	1153	4311
211	1158	4306
212	1164	4302
213	1169	4296
214	1174	4286
215	1179	4280
216	1184	4275
217	1189	4267
218	1194	4260
219	1199	4252
220	1203	4242
221	1208	4233
222	1212	4225
223	1217	4217
224	1221	4208
225	1226	4201
226	1231	4194
227	1235	4183
228	1239	4174
229	1244	4165
230	1248	4156
231	1253	4149
232	1257	4140
233	1261	4130
234	1268	4129
235	1273	4122
236	1278	4115
237	1282	4107
238	1287	4099
239	1291	4089
240	1295	4080
241	1300	4072
242	1304	4064
243	1308	4054
244	1313	4046
245	1317	4038
246	1321	4029
247	1326	4022
248	1331	4014
249	1335	4006
250	1339	3998
251	1343	3988
252	1348	3981
253	1352	3972
254	1357	3964
255	1361	3956
256	1366	3949
257	1370	3940
258	1374	3932
259	1379	3925
260	1383	3916
261	1387	3908
262	1392	3900
263	1397	3894
264	1401	3887
265	1405	3879
266	1409	3870
267	1414	3863
268	1418	3855
269	1422	3847
270	1428	3841
271	1432	3833
272	1436	3824
273	1441	3819
274	1446	3812
275	1450	3804
276	1455	3797
277	1460	3792
278	1464	3784
279	1469	3777
280	1473	3771
281	1478	3764
282	1482	3756
283	1487	3749
284	1491	3741
285	1496	3735
